Date,AveragePrice,Total Volume,year,region
2015-10-25,1.07,74338.76,2015,Albany
2015-10-18,1.12,84843.44,2015,Albany
2015-10-11,1.28,64489.17,2015,Albany
2015-10-04,1.31,61007.1,2015,Albany
2015-10-25,1.09,358478.08,2015,Atlanta
2015-10-18,1.09,349072.48,2015,Atlanta
2015-10-11,0.95,433874.46,2015,Atlanta
2015-10-04,0.96,418682.26,2015,Atlanta
2015-10-25,1.19,656892.03,2015,BaltimoreWashington
2015-10-18,0.99,1005603.78,2015,BaltimoreWashington
2015-10-11,1.24,653560.14,2015,BaltimoreWashington
2015-10-04,1.28,657444.04,2015,BaltimoreWashington
2015-10-25,1.11,59874.45,2015,Boise
2015-10-18,1.16,54191.14,2015,Boise
2015-10-11,0.94,80904.19,2015,Boise
2015-10-04,1.12,59496.33,2015,Boise
2015-10-25,1.02,534249.47,2015,Boston
2015-10-18,0.94,725296.29,2015,Boston
2015-10-11,1.14,485706.68,2015,Boston
2015-10-04,1.07,536479.42,2015,Boston
2015-10-25,1.36,99554.55,2015,BuffaloRochester
2015-10-18,1.29,106083.75,2015,BuffaloRochester
2015-10-11,1.3,109153.84,2015,BuffaloRochester
2015-10-04,1.33,98900.48,2015,BuffaloRochester
2015-10-25,1.12,4592461.81,2015,California
2015-10-18,1.07,4999031.79,2015,California
2015-10-11,1.08,5063309.38,2015,California
2015-10-04,1.02,4943781.29,2015,California
2015-10-25,1.27,140920.61,2015,Charlotte
2015-10-18,1.26,156565.98,2015,Charlotte
2015-10-11,1.14,167396.56,2015,Charlotte
2015-10-04,1.22,146737.74,2015,Charlotte
2015-10-25,1.12,687650.27,2015,Chicago
2015-10-18,1.15,690302.58,2015,Chicago
2015-10-11,1.08,708914.17,2015,Chicago
2015-10-04,1.18,675172.63,2015,Chicago
2015-10-25,1.01,203681.71,2015,CincinnatiDayton
2015-10-18,0.98,186044.56,2015,CincinnatiDayton
2015-10-11,0.91,213527.77,2015,CincinnatiDayton
2015-10-04,0.93,235243.88,2015,CincinnatiDayton
2015-10-25,1.04,119210.27,2015,Columbus
2015-10-18,0.98,137773.84,2015,Columbus
2015-10-11,0.9,145305.65,2015,Columbus
2015-10-04,0.93,134326.53,2015,Columbus
2015-10-25,0.86,1010394.81,2015,DallasFtWorth
2015-10-18,0.83,992983.76,2015,DallasFtWorth
2015-10-11,0.81,1100679.15,2015,DallasFtWorth
2015-10-04,0.82,1104602.14,2015,DallasFtWorth
2015-10-25,0.93,735206.51,2015,Denver
2015-10-18,0.87,805437.95,2015,Denver
2015-10-11,0.9,775976.51,2015,Denver
2015-10-04,1.02,678935.84,2015,Denver
2015-10-25,1.17,251336.74,2015,Detroit
2015-10-18,0.97,358143.26,2015,Detroit
2015-10-11,0.99,362400.65,2015,Detroit
2015-10-04,1.1,286400.89,2015,Detroit
2015-10-25,1.14,134921.44,2015,GrandRapids
2015-10-18,0.94,184806.99,2015,GrandRapids
2015-10-11,0.97,198769.54,2015,GrandRapids
2015-10-04,0.99,160322.48,2015,GrandRapids
2015-10-25,1.1,2671535.94,2015,GreatLakes
2015-10-18,1.03,2981549.94,2015,GreatLakes
2015-10-11,1.02,3004133.39,2015,GreatLakes
2015-10-04,1.05,2814678.93,2015,GreatLakes
2015-10-25,1.11,183276.68,2015,HarrisburgScranton
2015-10-18,0.93,264223.22,2015,HarrisburgScranton
2015-10-11,1.05,225079.92,2015,HarrisburgScranton
2015-10-04,1.16,188436.91,2015,HarrisburgScranton
2015-10-25,1.2,234361.36,2015,HartfordSpringfield
2015-10-18,0.93,407866.27,2015,HartfordSpringfield
2015-10-11,1.38,264227.78,2015,HartfordSpringfield
2015-10-04,1.3,262638.61,2015,HartfordSpringfield
2015-10-25,0.88,933623.58,2015,Houston
2015-10-18,0.9,847813.12,2015,Houston
2015-10-11,0.79,1036269.51,2015,Houston
2015-10-04,0.82,1019283.99,2015,Houston
2015-10-25,1.02,151558.74,2015,Indianapolis
2015-10-18,0.97,159463.52,2015,Indianapolis
2015-10-11,1.1,128848.68,2015,Indianapolis
2015-10-04,0.98,139679.01,2015,Indianapolis
2015-10-25,1.22,98097.37,2015,Jacksonville
2015-10-18,1.25,92599.79,2015,Jacksonville
2015-10-11,0.99,141875.2,2015,Jacksonville
2015-10-04,0.99,153146.21,2015,Jacksonville
2015-10-25,0.98,245167.14,2015,LasVegas
2015-10-18,0.91,279364.03,2015,LasVegas
2015-10-11,0.94,268709.29,2015,LasVegas
2015-10-04,0.97,269072.2,2015,LasVegas
2015-10-25,0.95,2327634.45,2015,LosAngeles
2015-10-18,0.89,2661345.12,2015,LosAngeles
2015-10-11,0.92,2591981.76,2015,LosAngeles
2015-10-04,0.98,2278629.09,2015,LosAngeles
2015-10-25,1.06,64602.5,2015,Louisville
2015-10-18,1.03,74092.73,2015,Louisville
2015-10-11,1.03,74536.59,2015,Louisville
2015-10-04,1.11,63157.22,2015,Louisville
2015-10-25,1.25,307072.85,2015,MiamiFtLauderdale
2015-10-18,1.24,333933.98,2015,MiamiFtLauderdale
2015-10-11,1.0,538384.22,2015,MiamiFtLauderdale
2015-10-04,0.99,570367.24,2015,MiamiFtLauderdale
2015-10-25,1.13,2188485.29,2015,Midsouth
2015-10-18,1.05,2783170.15,2015,Midsouth
2015-10-11,1.13,2329757.67,2015,Midsouth
2015-10-04,1.18,2233935.94,2015,Midsouth
2015-10-25,0.91,148660.26,2015,Nashville
2015-10-18,0.91,182647.96,2015,Nashville
2015-10-11,0.96,167655.6,2015,Nashville
2015-10-04,0.96,157490.03,2015,Nashville
2015-10-25,1.01,191180.56,2015,NewOrleansMobile
2015-10-18,1.02,206563.03,2015,NewOrleansMobile
2015-10-11,1.0,217777.46,2015,NewOrleansMobile
2015-10-04,1.0,222488.23,2015,NewOrleansMobile
2015-10-25,1.23,1048045.86,2015,NewYork
2015-10-18,0.97,1856337.85,2015,NewYork
2015-10-11,1.28,1099283.22,2015,NewYork
2015-10-04,1.26,1342963.26,2015,NewYork
2015-10-25,1.15,3306614.18,2015,Northeast
2015-10-18,0.99,4866607.14,2015,Northeast
2015-10-11,1.23,3307828.65,2015,Northeast
2015-10-04,1.21,3585183.3,2015,Northeast
2015-10-25,1.08,313881.26,2015,NorthernNewEngland
2015-10-18,1.0,402466.4,2015,NorthernNewEngland
2015-10-11,1.19,278472.66,2015,NorthernNewEngland
2015-10-04,1.12,298222.53,2015,NorthernNewEngland
2015-10-25,1.25,210265.79,2015,Orlando
2015-10-18,1.24,204526.46,2015,Orlando
2015-10-11,1.0,308032.62,2015,Orlando
2015-10-04,1.0,332997.12,2015,Orlando
2015-10-25,1.19,398337.69,2015,Philadelphia
2015-10-18,1.06,496236.63,2015,Philadelphia
2015-10-11,1.26,373650.83,2015,Philadelphia
2015-10-04,1.28,388205.8,2015,Philadelphia
2015-10-25,0.83,761261.71,2015,PhoenixTucson
2015-10-18,0.65,1094731.43,2015,PhoenixTucson
2015-10-11,0.89,795732.52,2015,PhoenixTucson
2015-10-04,0.89,726095.5,2015,PhoenixTucson
2015-10-25,1.22,69191.72,2015,Pittsburgh
2015-10-18,1.23,70132.85,2015,Pittsburgh
2015-10-11,0.96,84053.56,2015,Pittsburgh
2015-10-04,0.99,89538.02,2015,Pittsburgh
2015-10-25,1.11,1411354.54,2015,Plains
2015-10-18,1.12,1368887.69,2015,Plains
2015-10-11,1.05,1560845.55,2015,Plains
2015-10-04,1.14,1309245.88,2015,Plains
2015-10-25,0.91,480396.16,2015,Portland
2015-10-18,1.05,438182.64,2015,Portland
2015-10-11,0.79,657656.23,2015,Portland
2015-10-04,1.13,421430.94,2015,Portland
2015-10-25,1.22,199222.68,2015,RaleighGreensboro
2015-10-18,1.23,217581.17,2015,RaleighGreensboro
2015-10-11,1.17,222606.79,2015,RaleighGreensboro
2015-10-04,1.29,187692.67,2015,RaleighGreensboro
2015-10-25,1.02,180316.1,2015,RichmondNorfolk
2015-10-18,1.0,217221.23,2015,RichmondNorfolk
2015-10-11,1.01,192231.47,2015,RichmondNorfolk
